=== FRESH25 STAGE1-2B START Thu Aug 20 02:12:49 BST 2026 ===
Loading GLiNER-BioMed model... (this may take a moment on the first run)
Fetching 12 files:   0%|          | 0/12 [00:00<?, ?it/s]Fetching 12 files: 100%|██████████| 12/12 [00:00<00:00, 2615.04it/s]
Loading GLiNER-relex model... (this may take a moment on the first run)
Fetching 10 files:   0%|          | 0/10 [00:00<?, ?it/s]Fetching 10 files: 100%|██████████| 10/10 [00:00<00:00, 2682.12it/s]
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Asking to truncate to max_length but no maximum length is provided and the model has no predefined maximum length. Default to no truncation.
Loading SapBERT model for vector normalization... (this may take a moment)
================================================================================
🚀 RUNNING END-TO-END PIPELINE (STAGE 1 -> STAGE 2a -> STAGE 2b) ON 25 NAMED NOTE(S)
================================================================================
Reading from /home/ec2-user/clinical_neuro_symbolic_pipeline_reorder/data/raw_notes/gold_notes.csv

[1/25] Running Stage 1 -> Stage 2a -> Stage 2b via src.clinical_pipeline.run_pipeline() on 11532659-DS-11...
ℹ️ 17/26 relations in 11532659-DS-11 had at least one unlinked endpoint.
... 478 entities accepted, 478 normalized, 478 routed LOW, 54 non-asserted, 0 retained below threshold, 11 recovered via original-form fallback.
DOCTOR WROTE         | LABEL        | OMOP MAPPING                 | TIER           | ASSERTION  | IN
---------------------------------------------------------------------------------------------------------
dyspnea              | Symptom      | Dyspnea                      | 1 (Exact)      | PRESENT    | LOW
Ultrasound-guided    | Procedure    | Ultrasonography guided cho   | 3 (Semantic)   | PRESENT    | LOW
Trans-jugular temp   | Procedure    | Unmapped                     | 0 (Failed)     | PRESENT    | LOW
Hepatic artery       | Anatomy      | Hepatic artery               | 1 (Exact)      | PRESENT    | LOW
embolization         | Procedure    | Embolization procedure       | 2 (Synonym)    | PRESENT    | LOW
warfarin             | Medication   | warfarin                     | 1 (Exact)      | PRESENT    | LOW
heart failure        | Condition    | Heart failure                | 1 (Exact)      | PRESENT    | LOW
hypertension         | Condition    | Hypertensive disorder        | 2 (Synonym)    | PRESENT    | LOW
yperlipidemia        | Condition    | Endogenous hyperlipidemia    | 3 (Semantic)   | PRESENT    | LOW
diabetes             | Condition    | Diabetes mellitus            | 3 (Semantic)   | PRESENT    | LOW
dyspnea              | Symptom      | Dyspnea                      | 1 (Exact)      | PRESENT    | LOW
abdominal pain       | Symptom      | Abdominal pain               | 1 (Exact)      | PRESENT    | LOW
SOB                  | Symptom      | Dyspnea                      | 2 (Synonym)    | PRESENT    | LOW
orthopnea            | Condition    | Orthopnea                    | 1 (Exact)      | PRESENT    | LOW
torsemide            | Medication   | torsemide                    | 1 (Exact)      | ABSENT     | LOW
RUQ pain             | Symptom      | Right upper quadrant pain    | 1 (Exact)      | PRESENT    | LOW
early satiety        | Symptom      | Early satiety                | 1 (Exact)      | PRESENT    | LOW
intermittent         | Qualifier    | Intermittent                 | 1 (Exact)      | PRESENT    | LOW
constipation         | Condition    | Constipation                 | 1 (Exact)      | PRESENT    | LOW
diarrhea             | Symptom      | Diarrhea                     | 1 (Exact)      | PRESENT    | LOW
nauseous             | Symptom      | Nausea                       | 2 (Synonym)    | PRESENT    | LOW
